Brand,Model,Model_Description,Price,Engine_Size
Audi,e-tron S,Sportback quattro,2425000.0,
Mercedes-Benz,GLS580,4Matic AMG Line,2435652.0,
Land Rover,Defender,90 V8,2528600.0,
Maserati,Grecale,Trofeo,2550000.0,
Audi,RSQ8 quattro,,2625000.0,
Land Rover,Defender,90 V8 Carpathian Edition,2628600.0,
Porsche,Cayenne,turbo nan,2635000.0,
Land Rover,Defender,110 V8,2648600.0,
Porsche,Cayenne,turbo Coupé,2706000.0,
Land Rover,Defender,110 V8 Carpathian Edition,2749600.0,
Land Rover,Range Rover Sport,P510e Autobiography,2780600.0,
Lexus,LX,600 VIP,2787500.0,
Land Rover,Range Rover Sport,P510e First Edition,2810100.0,
Land Rover,Range Rover,D350 SE,2848600.0,
Maserati,Levante,Modena,2875000.0,
Mercedes-Benz,G400d AMG,Line,2893333.0,
BMW,X5,M competition,2928994.0,
Land Rover,Range Rover,D350 HSE,2966600.0,
Land Rover,Range Rover,D350 SE L 7 seats,2967600.0,
BMW,X6,M competition,3028842.0,
Land Rover,Range Rover Sport,P530 First Edition,3042500.0,
Land Rover,Range Rover,P530 HSE,3148600.0,
Porsche,Cayenne,turbo S e-hybrid,3277000.0,
Mercedes-AMG,GLE63 S,4Matic+,3337137.0,
Porsche,Cayenne,turbo S e-hybrid Coupé,3358000.0,
BMW,XM,,3400000.0,
Mercedes-AMG,GLS63,4Matic+,3401662.0,
Mercedes-AMG,GLE63 S,Coupé 4Matic+,3405844.0,
Land Rover,Range Rover,D350 Autobiography,3428600.0,
Porsche,Cayenne,turbo GT,3500000.0,
Land Rover,Range Rover,D350 Autobiography L,3513600.0,
Land Rover,Range Rover,D350 Autobiography L 7 seats,3544600.0,
Land Rover,Range Rover,D350 First Edition,3556600.0,
Mercedes-AMG,G63,,3561868.0,
Land Rover,Range Rover,P530 Autobiography,3610600.0,
Land Rover,Range Rover,P510e Autobiography,3637300.0,
Land Rover,Range Rover,D350 First Edition L,3640600.0,
Mercedes-Maybach,GLS600,,3652592.0,
Land Rover,Range Rover,P510e First Edition,3693300.0,
Land Rover,Range Rover,P530 Autobiography L,3695600.0,
Land Rover,Range Rover,P530 First Edition,3719600.0,
Land Rover,Range Rover,P530 Autobiography L 7 seats,3726600.0,
Land Rover,Range Rover,P530 First Edition L,3804600.0,
Land Rover,Range Rover,D350 SV,3992600.0,
Land Rover,Range Rover,P530 SV,4069600.0,
Land Rover,Range Rover,P510e SV,4085300.0,
Maserati,Levante,Trofeo,4250000.0,
Lamborghini,Urus,S,4395000.0,
Land Rover,Range Rover,D350 SV L,4426600.0,
Bentley,Bentayga,V8,4480000.0,
Land Rover,Range Rover,P530 SV L,4504600.0,
Lamborghini,Urus,Performante,4795000.0,
Bentley,Bentayga S,S,5310000.0,
Bentley,Bentayga Azure,Azure,5390000.0,
Bentley,Bentayga EWB,Azure,5770000.0,
Bentley,Bentayga Speed,Speed,5820000.0,
Nissan,NP200,1.6i safety pack,212500.0,1.6
Nissan,NP200,1.6i safety pack (aircon),230900.0,1.6
GWM,Steed,5 2.2MPi Single Cab Workhorse,233950.0,2.2
Mahindra,Pik Up,2.2CRDe Single Cab S4,263999.0,2.2
GWM,Steed,5 2.0VGT Single Cab S,299950.0,2.0
Mahindra,Pik Up,2.2CRDe Single Cab 4x4 S4,302999.0,2.2
GWM,Steed,5 2.0VGT Single Cab S 4WD,330950.0,2.0
Mahindra,Pik Up,2.2CRDe Single Cab S6,331999.0,2.2
Toyota,Hilux,2.0 Single Cab S,336100.0,2.0
Isuzu,D-Max Gen,6 250c Single Cab,340000.0,
Nissan,Navara,2.5 Single Cab XE,344900.0,2.5
GWM,Steed,5 2.0VGT Single Cab SX 4WD,344950.0,2.0
JAC,T6,2.0VVT Double Cab Lux,354900.0,2.0
Isuzu,D-Max Gen,6 250c Single Cab Fleetside,367500.0,
JAC,T6,2.8TDi Double Cab Lux,369900.0,2.8
Mahindra,Pik Up,2.2CRDe Single Cab 4x4 S6,370999.0,2.2
JAC,T6,1.9TDi Double Cab Comfort,374900.0,1.9
GWM,Steed,5 2.0VGT Double Cab SX,374950.0,2.0
Toyota,Hilux,2.4GD Single Cab S,378900.0,2.4
Nissan,Navara,2.5DDTi Single Cab XE,387200.0,2.5
Mahindra,Pik Up,2.2CRDe Double Cab S6,389999.0,2.2
Isuzu,D-Max Gen,6 250 Single Cab Fleetside safety,394100.0,
GWM,P-Series,2.0TD Single Cab SX,404950.0,2.0
GWM,Steed,5 2.0VGT Double Cab SX 4WD,406950.0,2.0
Mahindra,Pik Up,2.2CRDe Double Cab S6 Karoo,410999.0,2.2
Isuzu,D-Max,1.9TD Single Cab,411800.0,1.9
JAC,T6,2.8TDi Double Cab 4WD Lux,419900.0,2.8
Mitsubishi,Triton,2.4DI-D Single Cab GL,419995.0,2.4
Mahindra,Pik Up,2.2CRDe Double Cab S10,420999.0,2.2
Mahindra,Pik Up,2.2CRDe Double Cab 4x4 S6,428999.0,2.2
Isuzu,D-Max,1.9TD Single Cab L,431600.0,1.9
Toyota,Hilux,2.7 Single Cab S,433100.0,2.7
GWM,P-Series,2.0TD Single Cab DLX,434950.0,2.0
GWM,P-Series,2.0TD Double Cab SX,435950.0,2.0
Mahindra,Pik Up,2.2CRDe Double Cab S10 Karoo,440999.0,2.2
Mahindra,Pik Up,2.2CRDe Double Cab S6 Karoo auto,441999.0,2.2
Isuzu,D-Max,1.9TD Extended cab,444500.0,1.9
JAC,T8,2.0CTi Double Cab Lux,449900.0,2.0
Mahindra,Pik Up,2.2CRDe Double Cab 4x4 S6 Karoo,449999.0,2.2
Isuzu,D-Max,1.9TD Single Cab L auto,450200.0,1.9
Mahindra,Pik Up,2.2CRDe Double Cab S11,455999.0,2.2
Isuzu,D-Max,1.9TD Extended cab L,459800.0,1.9
GWM,P-Series,2.0TD Single Cab SX 4x4,459950.0,2.0
Mahindra,Pik Up,2.2CRDe Double Cab 4x4 S10,459999.0,2.2
GWM,P-Series,2.0TD Double Cab DLX,463950.0,2.0
Ford,Ranger,2.0 SiT Single Cab XL,464200.0,2.0
Nissan,Navara,2.5DDTi Single Cab SE,466700.0,2.5
Toyota,Hilux,2.4GD-6 Single Cab SR,469200.0,2.4
Ford,Ranger,2.0 SiT Single Cab XL auto,477800.0,2.0
Volkswagen,Transporter,2.0TDI 81kW Single Cab,477900.0,2.0
GWM,P-Series,2.0TD Double Cab SX auto,477950.0,2.0
Mahindra,Pik Up,2.2CRDe Double Cab 4x4 S10 Karoo,479999.0,2.2
Mahindra,Pik Up,2.2CRDe Double Cab 4x4 S6 Karoo auto,480999.0,2.2
Ford,Ranger,2.0 SiT SuperCab XL,485400.0,2.0
Ford,Ranger,2.0 SiT Double Cab,486000.0,2.0
Mahindra,Pik Up,2.2CRDe Double Cab S11 Karoo,486999.0,2.2
GWM,P-Series,2.0TD Double Cab SX 4x4,487950.0,2.0
GWM,P-Series,2.0TD Single Cab DLX 4x4,489950.0,2.0
Toyota,Hilux,2.7 Double Cab S,493600.0,2.7
Isuzu,D-Max,1.9TD Extended cab LS,494000.0,1.9
Mahindra,Pik Up,2.2CRDe Double Cab 4x4 S11,494999.0,2.2
Isuzu,D-Max Gen,6 250 Double Cab Hi-Ride,496900.0,
JAC,T8,2.0CTi Double Cab 4WD Lux,499900.0,2.0
Nissan,Navara,2.5DDTi Single Cab LE,504900.0,2.5
GWM,P-Series,2.0TD Double Cab DLX auto,504950.0,2.0
Mitsubishi,Triton,2.4DI-D Double Cab GL,504990.0,2.4
Toyota,Hilux,2.4GD-6 Single Cab Raider,506900.0,2.4
Isuzu,D-Max,1.9TD Double Cab L,511400.0,1.9
Isuzu,D-Max,1.9TD Extended cab LS auto,513700.0,1.9
Nissan,Navara,2.5DDTi Double Cab SE,514500.0,2.5
GWM,P-Series,2.0TD Double Cab DLX 4x4,514950.0,2.0
GWM,P-Series,2.0TD Double Cab LS,515950.0,2.0
Isuzu,D-Max Gen,6 250 Double Cab Hi-Ride auto,517700.0,
Toyota,Hilux,2.4GD-6 Xtra Cab Raider,521500.0,2.4
Isuzu,D-Max,1.9TD Single Cab L 4x4,523900.0,1.9
GWM,P-Series,2.0TD Double Cab SX 4x4 auto,524950.0,2.0
Mahindra,Pik Up,2.2CRDe Double Cab 4x4 S11 Karoo,525999.0,2.2
Toyota,Hilux,2.4GD-6 Single Cab Raider auto,527600.0,2.4
Ford,Ranger,2.0 SiT Double Cab 4x4,528600.0,2.0
Ford,Ranger,2.0 SiT Double Cab XL,529900.0,2.0
Isuzu,D-Max,1.9TD Double Cab L auto,530100.0,1.9
Ford,Ranger,2.0 SiT Single Cab XL 4x4,531300.0,2.0
Toyota,Hilux,2.4GD-6 Double Cab SR,534400.0,2.4
Isuzu,D-Max,1.9TD Double Cab LS,538900.0,1.9
Toyota,Hilux,2.4GD-6 Single Cab 4x4 SR,540000.0,2.4
Nissan,Navara,2.5DDTi Single Cab SE 4x4,541200.0,2.5
Toyota,Hilux,2.4GD-6 Xtra Cab Raider auto,542100.0,2.4
Nissan,Navara,2.5DDTi Double Cab SE auto,542900.0,2.5
Ford,Ranger,2.0 SiT Double Cab XL auto,544400.0,2.0
Ford,Ranger,2.0 SiT Single Cab XL 4x4 auto,545000.0,2.0
Ford,Ranger,2.0 SiT SuperCab XLT,547100.0,2.0
GWM,P-Series,2.0TD Double Cab DLX 4x4 auto,551950.0,2.0
Isuzu,D-Max,1.9TD Double Cab LS auto,556000.0,1.9
Nissan,Navara,2.5DDTi Double Cab SE Plus,556500.0,2.5
Volkswagen,Transporter,2.0TDI 81kW Double Cab,562300.0,2.0
GWM,P-Series,2.0TD Double Cab LS 4x4,565950.0,2.0
Toyota,Hilux,2.4GD-6 Double Cab Raider,567600.0,2.4
Nissan,Navara,2.5DDTi Double Cab SE Plus auto,578900.0,2.5
Nissan,Navara,2.5DDTi Single Cab LE 4x4,582900.0,2.5
Toyota,Hilux,2.4GD-6 Single Cab 4x4 Raider,583200.0,2.4
Toyota,Hilux,2.4GD-6 Double Cab Raider auto,585500.0,2.4
GWM,P-Series,2.0TD Double Cab LT,589950.0,2.0
Ford,Ranger,2.0 SiT Double Cab XLT,592700.0,2.0
Isuzu,D-Max,1.9TD Double Cab L 4x4,595300.0,1.9
Peugeot,Landtrek,1.9TD Double Cab Allure,599900.0,1.9
Mitsubishi,Triton,2.4DI-D Double Cab,599990.0,2.4
Nissan,Navara,2.5DDTi Double Cab SE 4x4,601900.0,2.5
Toyota,Hilux,2.8GD-6 Single Cab Raider auto,602400.0,2.8
Toyota,Hilux,2.4GD-6 Single Cab 4x4 Raider auto,605700.0,2.4
Ford,Ranger,2.0 SiT Double Cab XL 4x4,607300.0,2.0
Isuzu,D-Max,3.0TD Extended cab LSE,610000.0,3.0
Toyota,Hilux,2.8GD-6 Xtra Cab Legend,611000.0,2.8
Toyota,Hilux,2.4GD-6 Double Cab 4x4 SR,615300.0,2.4
Mitsubishi,Triton,2.4DI-D Double Cab auto,619990.0,2.4
Ford,Ranger,2.0 SiT Double Cab XL 4x4 auto,621900.0,2.0
Mahindra,Pik Up,2.2CRDe Double Cab 4x4 S11 Karoo Dusk,624999.0,2.2
Mazda,BT-50,1.9TD Double Cab Active,630400.0,1.9
Mahindra,Pik Up,2.2CRDe Double Cab 4x4 S11 Karoo Storm,634999.0,2.2
Nissan,Navara,2.5DDTi Double Cab SE Plus 4x4,636500.0,2.5
Toyota,Hilux,2.8GD-6 Xtra Cab Legend auto,638800.0,2.8
GWM,P-Series,2.0TD Double Cab LT 4x4,640950.0,2.0
Isuzu,D-Max,1.9TD Double Cab LS 4x4,650100.0,1.9
Toyota,Hilux,2.4GD-6 Double Cab 4x4 Raider,655100.0,2.4
Nissan,Navara,2.5DDTi Double Cab LE auto,661500.0,2.5
Mazda,BT-50,1.9TD Double Cab Active auto,667500.0,1.9
Ford,Ranger,2.0 SiT Double Cab XLT 4x4,669800.0,2.0
Toyota,Hilux,2.8GD-6 Single Cab 4x4 Raider auto,675000.0,2.8
Mitsubishi,Triton,2.4DI-D Double Cab 4x4,679990.0,2.4
Toyota,Hilux,2.4GD-6 Double Cab 4x4 Raider auto,683800.0,2.4
Isuzu,D-Max,3.0TD Extended cab LSE 4x4,687100.0,3.0
Ford,Ranger,2.0 BiTurbo SuperCab XLT 4x4,688900.0,2.0
Mitsubishi,Triton,2.4DI-D Double Cab Xtreme,688990.0,2.4
Peugeot,Landtrek,1.9TD 4Action Double Cab 4x4,689900.0,1.9
Toyota,Hilux,2.8GD-6 Xtra Cab 4x4 Legend,691100.0,2.8
Isuzu,D-Max,3.0TD Double Cab LS 4x4,696400.0,3.0
Mitsubishi,Triton,2.4DI-D Double Cab 4x4 auto,699990.0,2.4
Ford,Ranger,2.0 BiTurbo Double Cab XLT,702300.0,2.0
Toyota,Land Cruiser,79 4.0 V6 Single Cab,706200.0,4.0
Toyota,Hilux,2.8GD-6 Double Cab Raider auto,709000.0,2.8
Volkswagen,Transporter,2.0BiTDI 146kW Double Cab 4Motion,713000.0,2.0
Isuzu,D-Max,3.0TD Double Cab LS 4x4 auto,714700.0,3.0
Toyota,Hilux,2.8GD-6 Xtra Cab 4x4 Legend auto,719400.0,2.8
Nissan,Navara,2.5DDTi Double Cab LE 4x4,722900.0,2.5
Isuzu,D-Max,3.0TD Double Cab LSE,734400.0,3.0
Mitsubishi,Triton,2.4DI-D Double Cab 4x4 Heritage,739990.0,2.4
Nissan,Navara,2.5DDTi Double Cab LE 4x4 auto,740500.0,2.5
Toyota,Land Cruiser,79 4.2D Single Cab,750900.0,4.2
Nissan,Navara,2.5DDTi Double Cab PRO-2X,756500.0,2.5
Toyota,Hilux,2.8GD-6 Double Cab Legend,757200.0,2.8
Mitsubishi,Triton,2.4DI-D Double Cab 4x4 Xtreme,768990.0,2.4
Ford,Ranger,2.0 BiTurbo SuperCab Wildtrak 4x4,772800.0,2.0
Ford,Ranger,2.0 BiTurbo Double Cab Wildtrak,778300.0,2.0
Isuzu,D-Max,3.0TD Double Cab V-Cross,779200.0,3.0
Ford,Ranger,2.0 BiTurbo Double Cab XLT 4x4,782100.0,2.0
Mazda,BT-50,3.0TD Double Cab Dynamic,782400.0,3.0
Isuzu,D-Max,3.0TD Double Cab LSE 4x4,790400.0,3.0
Toyota,Hilux,2.8GD-6 Double Cab 4x4 Raider auto,792600.0,2.8
Volkswagen,Amarok,2.0BiTDI Double Cab Highline 4Motion,794200.0,2.0
Volkswagen,Amarok,2.0BiTDI Double Cab Highline,799700.0,2.0
Toyota,Land Cruiser,79 4.0 V6 Double Cab,801000.0,4.0
Toyota,Hilux,2.8GD-6 Double Cab Legend auto,802300.0,2.8
Nissan,Navara,2.5DDTi Double Cab PRO-4X 4x4,812900.0,2.5
Toyota,Hilux,2.8GD-6 Double Cab 4x4 Legend,813900.0,2.8
Mazda,BT-50,3.0TD Double Cab 4x4 Individual,818400.0,3.0
Isuzu,D-Max,3.0TD Double Cab V-Cross 4x4,835100.0,3.0
Toyota,Land Cruiser,79 4.2D Double Cab,839500.0,4.2
Toyota,Hilux,4.0 V6 Double Cab 4x4 Legend,849200.0,4.0
Toyota,Hilux,2.8GD-6 Double Cab 4x4 Legend auto,849600.0,2.8
Toyota,Land Cruiser,79 4.5D-4D Single Cab LX V8,858500.0,4.5
Volkswagen,Amarok,2.0BiTDI Double Cab Highline 4Motion auto,863900.0,2.0
Ford,Ranger,2.0 BiTurbo Double Cab Wildtrak 4x4,867700.0,2.0
Toyota,Hilux,2.8GD-6 Double Cab 4x4 GR-Sport,891400.0,2.8
Toyota,Hilux,2.8GD-6 Double Cab Legend RS auto,895000.0,2.8
Toyota,Hilux,2.8GD-6 Double Cab 4x4 Legend RS,909600.0,2.8
Toyota,Land Cruiser,79 4.5D-4D LX V8 Double Cab,941200.0,4.5
Toyota,Hilux,2.8GD-6 Double Cab 4x4 Legend RS auto,945400.0,2.8
Ford,Ranger,3.0 V6 Double Cab Wildtrak 4WD,953500.0,3.0
Volkswagen,Amarok,3.0 V6 TDI Double Cab Highline 4Motion,1025100.0,3.0
Ford,Ranger,3.0 V6 EcoBoost Double Cab Raptor 4WD,1094900.0,3.0
Volkswagen,Amarok,3.0 V6 TDI Double Cab Extreme 4Motion,1118200.0,3.0
Jeep,Gladiator,3.6 Rubicon Double Cab,1329900.0,3.6
